조회일자,기준일자,종목코드,한글종목명,종가,5년베타 실질베타,5년베타 조정베타
20111231,20111229,140910,에이리츠,5821,2.247831,1.831888
20120630,20120629,140910,에이리츠,4504,1.431537,1.287692
20120630,20120629,145270,케이탑리츠,670,-2.202245,-1.13483
20121231,20121228,140910,에이리츠,4095,1.263218,1.175479
20121231,20121228,145270,케이탑리츠,719,-0.366547,0.088968
20130630,20130628,140910,에이리츠,4228,1.105207,1.070138
20130630,20130628,145270,케이탑리츠,720,-0.261194,0.159204
20131231,20131230,140910,에이리츠,4032,0.973238,0.982159
20131231,20131230,145270,케이탑리츠,777,0.077392,0.384928
20140630,20140630,140910,에이리츠,3603,0.948037,0.965359
20140630,20140630,145270,케이탑리츠,851,0.197203,0.464802
20141231,20141230,140910,에이리츠,5457,0.711509,0.807673
20141231,20141230,145270,케이탑리츠,830,0.313255,0.54217
20150630,20150630,140910,에이리츠,4424,0.520519,0.680346
20150630,20150630,145270,케이탑리츠,1014,0.601593,0.734396
20151231,20151230,140910,에이리츠,4401,0.499032,0.666022
20151231,20151230,145270,케이탑리츠,1032,0.660043,0.773362
20160630,20160630,140910,에이리츠,5011,0.610194,0.740129
20160630,20160630,145270,케이탑리츠,1504,1.556735,1.371157
20161231,20161229,140910,에이리츠,4751,-0.279285,0.147143
20161231,20161229,145270,케이탑리츠,2303,1.644389,1.429593
20161231,20161229,204210,스타에스엠리츠,4715,3.749297,2.832865
20170630,20170630,140910,에이리츠,4514,-0.359595,0.093603
20170630,20170630,145270,케이탑리츠,1234,1.609086,1.406057
20170630,20170630,204210,스타에스엠리츠,4540,1.153958,1.102639
20171231,20171228,140910,에이리츠,4055,-0.256569,0.162287
20171231,20171228,145270,케이탑리츠,905,1.532376,1.354917
20171231,20171228,204210,스타에스엠리츠,3890,0.555043,0.703362
20180630,20180629,140910,에이리츠,4113,-0.359784,0.093477
20180630,20180629,145270,케이탑리츠,846,1.472287,1.314858
20180630,20180629,204210,스타에스엠리츠,3475,0.406572,0.604382
20180930,20180928,293940,신한알파리츠,5540,0,0.333333
20181231,20181228,088260,이리츠코크렙,4850,0.138579,0.425719
20181231,20181228,140910,에이리츠,4105,0.002197,0.334798
20181231,20181228,145270,케이탑리츠,1080,0.908178,0.938786
20181231,20181228,204210,스타에스엠리츠,3120,0.341797,0.561198
20181231,20181228,293940,신한알파리츠,5434,0.323591,0.549061
20190331,20190329,293940,신한알파리츠,5705,0.136921,0.424614
20190630,20190628,088260,이리츠코크렙,6100,0.180014,0.453343
20190630,20190628,140910,에이리츠,5016,0.126104,0.417403
20190630,20190628,145270,케이탑리츠,864,0.681687,0.787792
20190630,20190628,204210,스타에스엠리츠,3000,0.228304,0.485536
20190630,20190628,293940,신한알파리츠,6556,0.1368,0.424533
20190930,20190930,293940,신한알파리츠,7736,0.095638,0.397092
20191231,20191230,088260,이리츠코크렙,6800,0.15702,0.438014
20191231,20191230,140910,에이리츠,5583,0.21815,0.478767
20191231,20191230,145270,케이탑리츠,922,0.682376,0.788251
20191231,20191230,204210,스타에스엠리츠,3130,0.218734,0.479156
20191231,20191230,293940,신한알파리츠,7359,-0.051175,0.299216
20191231,20191230,330590,롯데리츠,5982,-1.037639,-0.358427
20200331,20200331,293940,신한알파리츠,6605,0.136634,0.424423
20200531,20200529,338100,NH프라임리츠,5000,0.630792,0.753861
20200630,20200630,088260,이리츠코크렙,5690,0.399748,0.599832
