Code,Date,Year,Month,Day,Div_total,Div_per_stock,Div_per_stock_ytd,Div_yield
0030R0,2025-08-31,2025,8,31,"4,371,412,500.00",73,171,0.15
0030R0,2025-05-31,2025,5,31,"2,914,275,000.00",98,98,0.2
481850,2025-08-31,2025,8,31,"5,521,663,328.00",127,254,0.13
481850,2025-02-28,2025,2,28,"5,521,663,328.00",127,127,0.13
481850,2024-08-31,2024,8,31,"5,478,185,664.00",126,126,0.13
448730,2025-07-31,2025,7,31,"6,253,000,000.00",69,211,0.14
448730,2025-04-30,2025,4,30,"6,253,000,000.00",69,142,0.14
448730,2025-01-31,2025,1,31,"6,607,868,201.00",73,73,0.15
448730,2024-10-31,2024,10,31,"6,003,861,487.00",66,274,0.13
448730,2024-07-31,2024,7,31,"5,039,544,003.00",65,208,0.13
448730,2024-04-30,2024,4,30,"5,474,260,145.00",71,143,0.14
448730,2024-01-31,2024,1,31,"5,594,285,804.00",72,72,0.14
448730,2023-10-31,2023,10,31,"5,321,328,266.00",69,197,0.14
448730,2023-07-31,2023,7,31,"5,438,674,281.00",70,128,0.14
448730,2023-04-30,2023,4,30,"4,517,204,970.00",58,58,0.12
432320,2025-07-31,2025,7,31,"17,240,428,450.00",170,350,0.34
432320,2025-01-31,2025,1,31,"18,254,571,300.00",180,180,0.36
432320,2024-07-31,2024,7,31,"19,065,885,580.00",188,376,0.38
432320,2024-01-31,2024,1,31,"19,065,885,580.00",188,188,0.38
432320,2023-07-31,2023,7,31,"19,065,885,580.00",188,353,0.38
432320,2023-01-31,2023,1,31,"16,733,357,025.00",165,165,0.33
417310,2025-08-31,2025,8,31,"2,927,167,028.00",72,260,0.14
417310,2025-05-31,2025,5,31,"3,837,523,165.00",94,188,0.19
417310,2025-02-28,2025,2,28,"3,812,127,537.00",94,94,0.19
417310,2024-11-30,2024,11,30,"3,849,535,291.00",95,350,0.19
417310,2024-08-31,2024,8,31,"2,877,114,276.00",71,255,0.14
417310,2024-05-31,2024,5,31,"3,655,868,852.00",90,184,0.18
417310,2024-02-29,2024,2,29,"3,806,771,226.00",94,94,0.19
417310,2023-11-30,2023,11,30,"3,663,082,764.00",90,320,0.18
417310,2023-08-31,2023,8,31,"2,693,177,154.00",66,230,0.13
417310,2023-05-31,2023,5,31,"3,273,318,234.00",81,164,0.16
417310,2023-02-28,2023,2,28,"3,370,732,935.00",83,83,0.17
417310,2022-08-31,2022,8,31,"2,432,956,901.00",60,206,0.12
417310,2022-05-31,2022,5,31,"3,424,638,882.00",84,146,0.17
417310,2022-02-28,2022,2,28,"1,314,284,964.00",62,62,0.12
204210,2023-12-31,2023,12,31,"7,521,569,215.00",961,961,0.19
204210,2022-12-31,2022,12,31,"12,303,753,180.00","1,572.00","1,572.00",0.31
204210,2021-12-31,2021,12,31,"1,565,363,000.00",200,200,0.04
204210,2020-12-31,2020,12,31,"1,174,022,000.00",150,150,0.03
204210,2019-12-31,2019,12,31,"1,314,904,920.00",168,168,0.03
204210,2018-12-31,2018,12,31,"641,798,830.00",82,82,0.02
204210,2017-12-31,2017,12,31,"594,837,940.00",76,76,0.02
204210,2016-12-31,2016,12,31,"853,122,835.00",109,109,0.02
145270,2024-12-31,2024,12,31,"3,223,583,996.00",68,68,0.07
145270,2023-12-31,2023,12,31,"4,536,220,835.00",95,95,0.1
145270,2022-12-31,2022,12,31,"5,156,966,844.00",108,108,0.11
145270,2021-12-31,2021,12,31,"1,836,647,160.00",40,40,0.04
145270,2020-12-31,2020,12,31,"3,697,312,240.00",80,80,0.08
145270,2019-12-31,2019,12,31,"1,127,280,150.00",25,25,0.03
145270,2018-12-31,2018,12,31,"884,174,380.00",20,20,0.02
145270,2017-12-31,2017,12,31,"866,869,920.00",20,20,0.02
145270,2016-12-31,2016,12,31,"812,654,440.00",20,20,0.02
145270,2015-12-31,2015,12,31,"828,150,000.00",30,30,0.03
145270,2014-12-31,2014,12,31,"1,734,720,000.00",320,320,0.06
145270,2013-12-31,2013,12,31,"3,252,600,000.00",600,600,0.12
140910,2022-12-31,2022,12,31,"855,045,400.00",200,200,0.04
140910,2021-12-31,2021,12,31,"1,023,510,000.00",250,250,0.05
140910,2020-12-31,2020,12,31,"2,843,406,000.00",750,750,0.15
140910,2019-12-31,2019,12,31,"1,572,924,396.00",428,428,0.09
140910,2018-12-31,2018,12,31,"1,168,668,126.00",318,318,0.06
140910,2017-12-31,2017,12,31,"362,873,500.00",100,100,0.02
140910,2016-12-31,2016,12,31,"2,246,186,965.00",619,619,0.12
140910,2015-12-31,2015,12,31,"3,136,584,864.00",952,952,0.19
140910,2014-12-31,2014,12,31,"58,059,760.00",16,16,. 
357430,2025-09-30,2025,9,30,"2,950,757,793.00",96,157,0.1
357430,2025-03-31,2025,3,31,"1,860,823,727.00",61,61,0.06
357430,2024-09-30,2024,9,30,"1,173,346,771.00",44,130,0.04
357430,2024-03-31,2024,3,31,"2,305,400,290.00",86,86,0.09
357430,2023-09-30,2023,9,30,"4,066,740,000.00",153,305,0.15
357430,2023-03-31,2023,3,31,"4,054,378,299.00",152,152,0.15
357430,2022-09-30,2022,9,30,"2,962,840,719.00",111,111,0.11
404990,2025-06-30,2025,6,30,"7,313,245,420.00",130,130,0.13
404990,2024-12-31,2024,12,31,"7,274,264,920.00",130,248,0.13
404990,2024-06-30,2024,6,30,"6,602,794,312.00",118,118,0.12
404990,2023-12-31,2023,12,31,"7,833,823,760.00",140,290,0.14
404990,2023-06-30,2023,6,30,"8,393,382,600.00",150,150,0.15
404990,2022-12-31,2022,12,31,"8,952,941,440.00",160,316,0.16
404990,2022-06-30,2022,6,30,"8,729,117,904.00",156,156,0.16
404990,2021-12-31,2021,12,31,"4,980,073,676.00",89,89,0.09
396690,2025-03-31,2025,3,31,"5,618,003,157.00",142,142,0.14
396690,2024-09-30,2024,9,30,"5,245,024,485.00",132,252,0.13
396690,2024-03-31,2024,3,31,"4,755,176,940.00",120,120,0.12
396690,2023-09-30,2023,9,30,"4,359,191,824.00",150,304,0.15
396690,2023-03-31,2023,3,31,"4,478,146,000.00",154,154,0.15
396690,2022-09-30,2022,9,30,"4,307,947,610.00",148,190,0.15
396690,2022-03-31,2022,3,31,"1,219,574,258.00",42,42,0.04
400760,2025-06-30,2025,6,30,"7,440,540,960.00",170,170,0.34
400760,2024-12-31,2024,12,31,"8,753,577,600.00",200,340,0.4
400760,2024-06-30,2024,6,30,"5,908,000,000.00",140,140,0.28
400760,2023-12-31,2023,12,31,"6,330,000,000.00",150,288,0.3
400760,2023-06-30,2023,6,30,"5,823,600,000.00",138,138,0.28
400760,2022-12-31,2022,12,31,"6,836,400,000.00",162,316,0.32
400760,2022-06-30,2022,6,30,"6,498,800,000.00",154,154,0.31
400760,2021-12-31,2021,12,31,"4,492,615,077.00",106,106,0.21
395400,2025-09-30,2025,9,30,"19,477,831,692.00",66,202,0.13
395400,2025-06-30,2025,6,30,"19,197,338,754.00",66,136,0.13
395400,2025-03-31,2025,3,31,"19,333,214,180.00",70,70,0.14
395400,2024-12-31,2024,12,31,"18,004,064,760.00",66,264,0.13
395400,2024-09-30,2024,9,30,"18,004,064,760.00",66,198,0.13
395400,2024-06-30,2024,6,30,"17,828,756,814.00",66,132,0.13
395400,2024-03-31,2024,3,31,"17,828,756,814.00",66,66,0.13
395400,2023-12-31,2023,12,31,"24,582,073,789.00",91,314,0.18
395400,2023-09-30,2023,9,30,"17,886,421,189.00",91,223,0.18
395400,2023-06-30,2023,6,30,"12,972,569,214.00",66,132,0.13
395400,2023-03-31,2023,3,31,"12,972,569,214.00",66,66,0.13
395400,2022-12-31,2022,12,31,"12,972,569,214.00",66,273,0.13
395400,2022-09-30,2022,9,30,"12,972,569,214.00",66,207,0.13
395400,2022-06-30,2022,6,30,"10,950,409,019.00",70,141,0.14
395400,2022-03-31,2022,3,31,"11,081,700,966.00",71,71,0.14
395400,2021-12-31,2021,12,31,"10,870,235,383.00",70,123,0.14
395400,2021-09-30,2021,9,30,"8,250,980,903.00",53,53,0.11
395400,2021-06-30,2021,6,30,"78,904.00",. ,. ,. 
377190,2025-09-30,2025,9,30,"10,608,000,000.00",120,246,0.12
377190,2025-03-31,2025,3,31,"11,138,400,000.00",126,126,0.13
377190,2024-09-30,2024,9,30,"8,951,600,000.00",139,277,0.14
377190,2024-03-31,2024,3,31,"8,887,200,000.00",138,138,0.14
377190,2023-09-30,2023,9,30,"9,080,400,000.00",141,291,0.14
377190,2023-03-31,2023,3,31,"9,660,000,000.00",150,150,0.15
377190,2022-09-30,2022,9,30,"9,660,000,000.00",150,301,0.15
377190,2022-03-31,2022,3,31,"9,783,518,427.00",151,151,0.15
377190,2021-09-30,2021,9,30,"5,261,550,000.00",81,81,0.08
