VALUESearch - ETF정보 / A476800.삼성 KODEX 한국부동산리츠인프라부동산상장지수투자신탁[재간접형],,,,,,,,,,,,Report as of : 2025-11-23
기준일자,시가,고가,저가,종가,거래량,거래대금,상장주식수,1개월수익률,3개월수익률,6개월수익률,1년수익률,상장후수익률
,"5,090.  ","5,135.  ","5,080.  ","5,135.  ","772,030.  ","3,938,934,540.  ","2,800,000.  ",.  ,.  ,.  ,.  ,.  
,"5,135.  ","5,210.  ","5,125.  ","5,180.  ","1,253,987.  ","6,493,190,065.  ","2,800,000.  ",.01  ,.01  ,.01  ,.01  ,.01  
,"5,210.  ","5,265.  ","5,180.  ","5,195.  ","1,134,902.  ","5,927,555,895.  ","2,800,000.  ",.01  ,.01  ,.01  ,.01  ,.01  
,"5,200.  ","5,205.  ","5,180.  ","5,185.  ","865,382.  ","4,489,805,420.  ","2,850,000.  ",.01  ,.01  ,.01  ,.01  ,.01  
,"5,200.  ","5,230.  ","5,185.  ","5,230.  ","654,844.  ","3,405,794,915.  ","3,150,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,230.  ","5,240.  ","5,200.  ","5,225.  ","679,302.  ","3,552,257,210.  ","3,250,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,225.  ","5,225.  ","5,190.  ","5,210.  ","667,133.  ","3,473,505,195.  ","3,350,000.  ",.01  ,.01  ,.01  ,.01  ,.01  
,"5,220.  ","5,225.  ","5,195.  ","5,205.  ","563,555.  ","2,935,770,615.  ","3,400,000.  ",.01  ,.01  ,.01  ,.01  ,.01  
,"5,205.  ","5,210.  ","5,175.  ","5,180.  ","693,175.  ","3,592,138,145.  ","3,450,000.  ",.01  ,.01  ,.01  ,.01  ,.01  
,"5,180.  ","5,190.  ","5,100.  ","5,110.  ","774,585.  ","3,974,189,245.  ","3,650,000.  ",.  ,.  ,.  ,.  ,.  
,"5,115.  ","5,130.  ","5,090.  ","5,130.  ","634,390.  ","3,236,758,290.  ","3,650,000.  ",.  ,.  ,.  ,.  ,.  
,"5,150.  ","5,150.  ","5,120.  ","5,150.  ","508,410.  ","2,609,228,000.  ","3,950,000.  ",.  ,.  ,.  ,.  ,.  
,"5,165.  ","5,170.  ","5,150.  ","5,160.  ","525,091.  ","2,711,290,250.  ","4,150,000.  ",.  ,.  ,.  ,.  ,.  
,"5,165.  ","5,205.  ","5,160.  ","5,205.  ","647,556.  ","3,351,131,290.  ","4,150,000.  ",.01  ,.01  ,.01  ,.01  ,.01  
,"5,200.  ","5,245.  ","5,200.  ","5,240.  ","577,407.  ","3,011,826,620.  ","4,150,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,250.  ","5,255.  ","5,220.  ","5,230.  ","594,222.  ","3,111,794,850.  ","4,200,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,240.  ","5,240.  ","5,215.  ","5,240.  ","472,443.  ","2,470,280,840.  ","4,200,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,250.  ","5,260.  ","5,240.  ","5,250.  ","518,077.  ","2,721,998,290.  ","4,400,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,250.  ","5,250.  ","5,230.  ","5,245.  ","488,181.  ","2,558,616,765.  ","4,400,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,250.  ","5,255.  ","5,230.  ","5,240.  ","1,470,763.  ","7,705,123,810.  ","4,400,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,250.  ","5,250.  ","5,230.  ","5,240.  ","935,595.  ","4,900,151,270.  ","4,400,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,245.  ","5,260.  ","5,215.  ","5,260.  ","982,344.  ","5,132,517,390.  ","4,450,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,265.  ","5,265.  ","5,250.  ","5,260.  ","965,174.  ","5,073,998,875.  ","4,500,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,250.  ","5,250.  ","5,230.  ","5,235.  ","889,898.  ","4,662,493,300.  ","4,500,000.  ",.02  ,.02  ,.02  ,.02  ,.02  
,"5,240.  ","5,240.  ","5,205.  ","5,210.  ","1,223,502.  ","6,382,929,245.  ","4,500,000.  ",.  ,.01  ,.01  ,.01  ,.01  
,"5,215.  ","5,215.  ","5,160.  ","5,175.  ","940,547.  ","4,878,875,310.  ","4,550,000.  ",.  ,.01  ,.01  ,.01  ,.01  
,"5,150.  ","5,155.  ","5,115.  ","5,125.  ","935,432.  ","4,794,243,620.  ","4,550,000.  ",-.02  ,.  ,.  ,.  ,.  
,"5,125.  ","5,125.  ","5,095.  ","5,120.  ","953,437.  ","4,867,909,335.  ","4,600,000.  ",-.01  ,.  ,.  ,.  ,.  
,"5,120.  ","5,120.  ","5,080.  ","5,100.  ","900,865.  ","4,585,428,330.  ","4,600,000.  ",-.01  ,.  ,.  ,.  ,-.01  
,"5,105.  ","5,105.  ","5,010.  ","5,020.  ","973,830.  ","4,928,721,845.  ","4,600,000.  ",-.03  ,-.02  ,-.02  ,-.02  ,-.02  
,"5,030.  ","5,045.  ","5,005.  ","5,025.  ","925,274.  ","4,649,447,110.  ","5,450,000.  ",-.02  ,-.02  ,-.02  ,-.02  ,-.02  
,"5,030.  ","5,055.  ","5,020.  ","5,040.  ","808,563.  ","4,069,275,345.  ","5,850,000.  ",-.01  ,-.01  ,-.01  ,-.01  ,-.02  
,"5,050.  ","5,050.  ","5,015.  ","5,030.  ","853,264.  ","4,296,145,030.  ","5,850,000.  ",-.01  ,-.01  ,-.01  ,-.01  ,-.02  
,"5,035.  ","5,075.  ","5,030.  ","5,075.  ","793,986.  ","4,013,282,990.  ","5,850,000.  ",-.02  ,-.01  ,-.01  ,-.01  ,-.01  
,"5,085.  ","5,095.  ","5,065.  ","5,095.  ","801,529.  ","4,065,769,265.  ","5,900,000.  ",-.02  ,.  ,.  ,.  ,-.01  
,"5,100.  ","5,120.  ","5,095.  ","5,120.  ","748,646.  ","3,825,217,885.  ","6,300,000.  ",-.01  ,.  ,.  ,.  ,.  
,"5,125.  ","5,130.  ","5,110.  ","5,125.  ","800,515.  ","4,101,184,895.  ","6,300,000.  ",-.02  ,.  ,.  ,.  ,.  
,"5,125.  ","5,130.  ","5,100.  ","5,115.  ","697,408.  ","3,569,133,180.  ","6,300,000.  ",-.02  ,.  ,.  ,.  ,.  
,"5,115.  ","5,125.  ","5,105.  ","5,120.  ","805,767.  ","4,121,236,660.  ","6,400,000.  ",-.02  ,.  ,.  ,.  ,.  
,"5,135.  ","5,140.  ","5,115.  ","5,130.  ","719,571.  ","3,691,068,875.  ","6,400,000.  ",-.02  ,.  ,.  ,.  ,.  
,"5,130.  ","5,140.  ","5,110.  ","5,140.  ","413,051.  ","2,114,891,865.  ","6,400,000.  ",-.01  ,.01  ,.01  ,.01  ,.  
,"5,150.  ","5,150.  ","5,120.  ","5,135.  ","460,236.  ","2,362,857,220.  ","6,400,000.  ",-.02  ,.01  ,.01  ,.01  ,.  
,"5,135.  ","5,155.  ","5,135.  ","5,155.  ","1,036,976.  ","5,338,553,000.  ","6,400,000.  ",-.01  ,.01  ,.01  ,.01  ,.  
,"5,165.  ","5,200.  ","5,150.  ","5,190.  ","1,064,524.  ","5,505,354,910.  ","6,450,000.  ",.  ,.02  ,.02  ,.02  ,.01  
,"5,205.  ","5,260.  ","5,200.  ","5,260.  ","1,301,675.  ","6,806,781,870.  ","6,500,000.  ",.02  ,.03  ,.03  ,.03  ,.02  
,"5,265.  ","5,305.  ","5,245.  ","5,255.  ","1,152,641.  ","6,083,347,090.  ","6,500,000.  ",.02  ,.03  ,.03  ,.03  ,.02  
,"5,230.  ","5,250.  ","5,225.  ","5,245.  ","1,074,357.  ","5,629,200,780.  ","7,350,000.  ",.03  ,.03  ,.03  ,.03  ,.02  
,"5,255.  ","5,260.  ","5,230.  ","5,240.  ","1,071,179.  ","5,617,198,365.  ","7,350,000.  ",.03  ,.03  ,.03  ,.03  ,.02  
,"5,255.  ","5,275.  ","5,255.  ","5,270.  ","1,109,762.  ","5,841,731,485.  ","7,350,000.  ",.06  ,.04  ,.04  ,.04  ,.03  
,"5,270.  ","5,280.  ","5,260.  ","5,275.  ","1,069,175.  ","5,630,412,855.  ","7,400,000.  ",.06  ,.04  ,.04  ,.04  ,.03  
,"5,280.  ","5,295.  ","5,260.  ","5,260.  ","972,025.  ","5,135,342,665.  ","7,300,000.  ",.05  ,.04  ,.04  ,.04  ,.02  
,"5,265.  ","5,270.  ","5,230.  ","5,235.  ","1,026,560.  ","5,391,079,335.  ","7,300,000.  ",.05  ,.03  ,.03  ,.03  ,.02  
,"5,240.  ","5,255.  ","5,235.  ","5,245.  ","959,429.  ","5,029,182,555.  ","7,300,000.  ",.04  ,.03  ,.03  ,.03  ,.02  
,"5,255.  ","5,255.  ","5,220.  ","5,230.  ","915,202.  ","4,787,247,160.  ","7,300,000.  ",.03  ,.03  ,.03  ,.03  ,.02  
,"5,210.  ","5,240.  ","5,200.  ","5,235.  ","1,018,577.  ","5,321,741,700.  ","7,300,000.  ",.03  ,.03  ,.03  ,.03  ,.02  
,"5,235.  ","5,255.  ","5,230.  ","5,255.  ","961,750.  ","5,040,044,875.  ","7,300,000.  ",.03  ,.04  ,.04  ,.04  ,.02  
,"5,260.  ","5,270.  ","5,245.  ","5,260.  ","956,332.  ","5,029,834,690.  ","7,300,000.  ",.03  ,.04  ,.04  ,.04  ,.02  
,"5,280.  ","5,280.  ","5,235.  ","5,235.  ","961,027.  ","5,048,302,900.  ","7,300,000.  ",.03  ,.03  ,.03  ,.03  ,.02  
,"5,240.  ","5,245.  ","5,220.  ","5,230.  ","949,991.  ","4,970,781,315.  ","7,300,000.  ",.03  ,.03  ,.03  ,.03  ,.02  
,"5,230.  ","5,260.  ","5,230.  ","5,255.  ","906,146.  ","4,751,066,020.  ","7,300,000.  ",.03  ,.04  ,.04  ,.04  ,.02  
,"5,270.  ","5,275.  ","5,240.  ","5,270.  ","1,095,539.  ","5,754,812,950.  ","7,350,000.  ",.03  ,.04  ,.04  ,.04  ,.03  
,"5,280.  ","5,280.  ","5,260.  ","5,270.  ","1,041,622.  ","5,484,592,325.  ","7,350,000.  ",.03  ,.04  ,.04  ,.04  ,.03  
,"5,275.  ","5,285.  ","5,270.  ","5,280.  ","944,685.  ","4,984,959,925.  ","7,350,000.  ",.03  ,.04  ,.04  ,.04  ,.03  
,"5,290.  ","5,325.  ","5,290.  ","5,325.  ","1,251,667.  ","6,651,209,170.  ","7,400,000.  ",.04  ,.04  ,.05  ,.05  ,.04  
,"5,325.  ","5,325.  ","5,300.  ","5,315.  ","693,248.  ","3,681,206,985.  ","7,600,000.  ",.02  ,.04  ,.05  ,.05  ,.04  
,"5,315.  ","5,330.  ","5,305.  ","5,325.  ","698,404.  ","3,717,107,255.  ","7,800,000.  ",.02  ,.03  ,.05  ,.05  ,.04  
,"5,330.  ","5,330.  ","5,300.  ","5,310.  ","750,912.  ","3,990,555,270.  ","8,850,000.  ",.02  ,.03  ,.05  ,.05  ,.03  
,"5,280.  ","5,290.  ","5,240.  ","5,260.  ","811,749.  ","4,280,881,995.  ","9,300,000.  ",.01  ,.03  ,.04  ,.04  ,.02  
,"5,255.  ","5,260.  ","5,210.  ","5,230.  ","685,290.  ","3,592,560,120.  ","9,300,000.  ",.  ,.02  ,.04  ,.04  ,.02  
,"5,210.  ","5,225.  ","5,160.  ","5,175.  ","754,814.  ","3,924,528,715.  ","9,300,000.  ",-.01  ,.02  ,.03  ,.03  ,.01  
,"5,185.  ","5,185.  ","5,165.  ","5,185.  ","592,303.  ","3,066,482,065.  ","9,300,000.  ",-.01  ,.03  ,.03  ,.03  ,.01  
,"5,190.  ","5,190.  ","5,120.  ","5,135.  ","824,236.  ","4,255,621,220.  ","9,400,000.  ",-.02  ,.02  ,.02  ,.02  ,.  
,"5,140.  ","5,140.  ","5,105.  ","5,135.  ","650,810.  ","3,331,488,475.  ","9,350,000.  ",-.02  ,.01  ,.02  ,.02  ,.  
,"5,135.  ","5,195.  ","5,120.  ","5,185.  ","534,398.  ","2,752,937,250.  ","9,700,000.  ",.  ,.02  ,.03  ,.03  ,.01  
,"5,205.  ","5,210.  ","5,190.  ","5,195.  ","508,365.  ","2,645,426,355.  ","10,050,000.  ",.  ,.02  ,.03  ,.03  ,.01  
,"5,205.  ","5,215.  ","5,195.  ","5,210.  ","458,849.  ","2,388,982,455.  ","10,100,000.  ",.  ,.01  ,.03  ,.03  ,.01  
,"5,215.  ","5,215.  ","5,200.  ","5,215.  ","586,566.  ","3,054,699,775.  ","10,100,000.  ",.  ,.01  ,.03  ,.03  ,.02  
,"5,220.  ","5,245.  ","5,215.  ","5,230.  ","592,738.  ","3,099,183,880.  ","10,100,000.  ",.  ,.02  ,.04  ,.04  ,.02  
,"5,245.  ","5,255.  ","5,240.  ","5,250.  ","418,137.  ","2,194,847,550.  ","10,150,000.  ",.  ,.02  ,.04  ,.04  ,.02  
,"5,250.  ","5,250.  ","5,220.  ","5,235.  ","369,818.  ","1,935,365,295.  ","10,150,000.  ",.  ,.02  ,.04  ,.04  ,.02  
,"5,230.  ","5,230.  ","5,190.  ","5,210.  ","255,273.  ","1,329,031,965.  ","10,150,000.  ",.  ,.01  ,.03  ,.03  ,.01  
,"5,225.  ","5,235.  ","5,215.  ","5,235.  ","232,138.  ","1,213,071,520.  ","10,150,000.  ",.  ,.01  ,.04  ,.04  ,.02  
,"5,240.  ","5,245.  ","5,205.  ","5,230.  ","275,526.  ","1,439,236,280.  ","10,250,000.  ",.  ,.01  ,.04  ,.04  ,.02  
,"5,225.  ","5,230.  ","5,190.  ","5,200.  ","517,602.  ","2,691,372,735.  ","10,400,000.  ",-.01  ,.01  ,.03  ,.03  ,.01  
,"5,205.  ","5,210.  ","5,190.  ","5,210.  ","251,191.  ","1,306,163,590.  ","10,500,000.  ",-.02  ,.02  ,.03  ,.03  ,.01  
,"5,215.  ","5,215.  ","5,175.  ","5,190.  ","405,382.  ","2,104,680,950.  ","11,550,000.  ",-.02  ,.02  ,.03  ,.03  ,.01  
,"5,190.  ","5,195.  ","5,175.  ","5,190.  ","372,508.  ","1,931,782,570.  ","11,750,000.  ",-.02  ,.02  ,.03  ,.03  ,.01  
,"5,200.  ","5,200.  ","5,190.  ","5,200.  ","263,181.  ","1,367,444,205.  ","13,300,000.  ",-.02  ,.03  ,.03  ,.03  ,.01  
,"5,190.  ","5,200.  ","5,185.  ","5,200.  ","232,539.  ","1,207,015,970.  ","14,350,000.  ",-.01  ,.03  ,.04  ,.04  ,.01  
,"5,205.  ","5,210.  ","5,195.  ","5,205.  ","154,865.  ","805,585,040.  ","14,350,000.  ",.  ,.04  ,.04  ,.04  ,.01  
,"5,220.  ","5,230.  ","5,205.  ","5,230.  ","698,169.  ","3,650,064,585.  ","14,350,000.  ",.01  ,.06  ,.04  ,.04  ,.02  
,"5,235.  ","5,275.  ","5,235.  ","5,270.  ","288,560.  ","1,518,783,730.  ","14,350,000.  ",.03  ,.07  ,.05  ,.05  ,.03  
,"5,265.  ","5,285.  ","5,265.  ","5,285.  ","259,845.  ","1,370,909,610.  ","14,100,000.  ",.03  ,.07  ,.05  ,.05  ,.03  
,"5,285.  ","5,295.  ","5,280.  ","5,290.  ","146,982.  ","777,138,905.  ","14,600,000.  ",.04  ,.07  ,.06  ,.06  ,.03  
,"5,305.  ","5,305.  ","5,285.  ","5,305.  ","205,904.  ","1,090,340,960.  ","14,600,000.  ",.03  ,.06  ,.06  ,.06  ,.03  
