code,,날짜, div_total ,div_per_stock,div_yield
088260,이리츠코크렙,2017-12-31," 6,708,000,000 ",141,
088260,이리츠코크렙,2018-06-30," 7,447,052,064 ",118,0.24
088260,이리츠코크렙,2018-12-31," 11,084,778,250 ",175,0.35
088260,이리츠코크렙,2019-06-30," 11,084,778,250 ",175,0.35
088260,이리츠코크렙,2019-12-31," 11,084,778,250 ",175,0.35
088260,이리츠코크렙,2020-06-30," 11,084,778,250 ",175,0.35
088260,이리츠코크렙,2020-12-31," 11,084,778,250 ",175,0.35
088260,이리츠코크렙,2021-06-30," 11,369,693,150 ",179,0.36
088260,이리츠코크렙,2021-12-31," 12,978,792,455 ",204,0.41
088260,이리츠코크렙,2022-06-30," 13,337,052,094 ",210,0.42
088260,이리츠코크렙,2022-12-31," 12,342,146,884 ",195,0.39
088260,이리츠코크렙,2023-06-30," 12,673,340,474 ",200,0.4
088260,이리츠코크렙,2023-12-31," 12,925,337,432 ",204,0.41
088260,이리츠코크렙,2024-06-30," 11,813,468,411 ",186,0.37
088260,이리츠코크렙,2024-12-31," 11,155,226,661 ",176,0.35
088260,이리츠코크렙,2025-06-30," 11,021,995,299 ",174,0.35
293940,신한알파리츠,2018-09-30," 4,420,310,268 ",116,0.12
293940,신한알파리츠,2019-03-31," 6,525,326,851 ",137,0.14
293940,신한알파리츠,2019-09-30," 6,668,217,220 ",140,0.14
293940,신한알파리츠,2020-03-31," 7,114,518,450 ",150,0.15
293940,신한알파리츠,2020-09-30," 8,006,508,819 ",153,0.15
293940,신한알파리츠,2021-03-31," 8,582,140,172 ",164,0.16
293940,신한알파리츠,2021-09-30," 9,262,431,771 ",177,0.18
293940,신한알파리츠,2022-03-31," 10,068,223,360 ",192,0.19
293940,신한알파리츠,2022-09-30," 14,396,873,985 ",195,0.2
293940,신한알파리츠,2023-03-31," 14,027,723,370 ",190,0.19
293940,신한알파리츠,2023-09-30," 16,386,622,878 ",186,0.19
293940,신한알파리츠,2024-03-31," 15,966,453,061 ",642,0.64
293940,신한알파리츠,2024-09-30," 15,417,521,525 ",175,0.18
293940,신한알파리츠,2025-03-31," 22,566,641,279 ",173,0.17
330590,롯데리츠,2019-12-31," 16,587,870,199 ",96,0.19
330590,롯데리츠,2020-06-30," 27,777,592,575 ",161,0.32
330590,롯데리츠,2020-12-31," 27,838,013,415 ",161,0.32
330590,롯데리츠,2021-06-30," 33,957,214,408 ",139,0.28
330590,롯데리츠,2021-12-31," 38,808,309,090 ",159,0.32
330590,롯데리츠,2022-06-30," 39,691,102,858 ",163,0.33
330590,롯데리츠,2022-12-31," 34,777,339,371 ",143,0.29
330590,롯데리츠,2023-06-30," 26,528,034,856 ",109,0.22
330590,롯데리츠,2023-12-31," 23,234,198,171 ",95,0.19
330590,롯데리츠,2024-06-30," 25,025,795,052 ",103,0.21
330590,롯데리츠,2024-12-31," 32,364,515,008 ",112,0.22
330590,롯데리츠,2025-09-30," 33,809,359,428 ",117,0.23
334890,이지스밸류플러스리츠,2020-08-31," 1,446,904,620 ",60,0.06
334890,이지스밸류플러스리츠,2021-02-28," 3,624,000,000 ",151,0.15
334890,이지스밸류플러스리츠,2021-08-31," 3,648,000,000 ",152,0.15
334890,이지스밸류플러스리츠,2022-02-28," 4,692,673,504 ",152,0.15
334890,이지스밸류플러스리츠,2022-08-31," 5,585,290,920 ",152,0.15
334890,이지스밸류플러스리츠,2023-02-28," 7,823,260,984 ",213,0.21
334890,이지스밸류플러스리츠,2023-08-31," 10,338,586,154 ",201,0.2
334890,이지스밸류플러스리츠,2024-02-29," 10,839,413,902 ",211,0.21
334890,이지스밸류플러스리츠,2024-08-31," 11,364,503,036 ",612,0.61
334890,이지스밸류플러스리츠,2025-02-28," 11,915,028,841 ",173,0.17
334890,이지스밸류플러스리츠,2025-08-31," 11,935,885,304 ",172,0.17
338100,NH프라임리츠,2020-05-31," 2,369,820,000 ",127,0.25
338100,NH프라임리츠,2020-11-30," 2,220,540,000 ",119,0.24
338100,NH프라임리츠,2021-05-31," 2,332,500,000 ",125,0.25
338100,NH프라임리츠,2021-11-30," 2,295,180,000 ",123,0.25
338100,NH프라임리츠,2022-05-31," 2,052,600,000 ",110,0.22
338100,NH프라임리츠,2022-11-30," 2,145,900,000 ",115,
338100,NH프라임리츠,2023-05-31," 2,444,460,000 ",131,0.26
338100,NH프라임리츠,2023-11-30," 2,419,101,924 ",400,0.8
338100,NH프라임리츠,2024-05-31," 2,612,400,000 ",140,0.28
338100,NH프라임리츠,2024-11-30," 3,290,751,908 ",518,1.04
338100,NH프라임리츠,2025-05-31," 2,351,160,000 ",126,0.25
348950,제이알글로벌리츠,2020-12-31," 25,336,800,000 ",153,0.15
348950,제이알글로벌리츠,2021-06-30," 31,464,000,000 ",190,0.19
348950,제이알글로벌리츠,2021-12-31," 31,464,000,000 ",190,0.19
348950,제이알글로벌리츠,2022-06-30," 31,464,000,000 ",190,0.19
348950,제이알글로벌리츠,2022-12-31," 37,501,440,000 ",190,0.19
348950,제이알글로벌리츠,2023-06-30," 37,501,440,000 ",190,0.19
348950,제이알글로벌리츠,2023-12-31," 38,488,320,000 ",195,0.2
348950,제이알글로벌리츠,2024-06-30," 38,488,320,000 ",195,0.2
348950,제이알글로벌리츠,2024-12-31," 38,488,320,000 ",195,0.2
348950,제이알글로벌리츠,2025-06-30," 22,698,240,000 ",115,0.12
350520,이지스레지던스리츠,2020-12-31," 2,678,000,000 ",130,0.13
350520,이지스레지던스리츠,2021-06-30," 2,678,000,000 ",130,0.13
350520,이지스레지던스리츠,2021-12-31," 2,719,200,000 ",132,0.13
350520,이지스레지던스리츠,2022-06-30," 2,739,800,000 ",133,0.13
350520,이지스레지던스리츠,2022-12-31," 3,771,696,061 ",133,0.13
350520,이지스레지던스리츠,2023-06-30," 3,771,696,061 ",133,0.13
350520,이지스레지던스리츠,2023-12-31," 3,771,696,061 ",133,0.13
350520,이지스레지던스리츠,2024-06-30," 4,253,792,550 ",150,0.15
350520,이지스레지던스리츠,2024-12-31," 5,529,930,300 ",150,0.15
350520,이지스레지던스리츠,2025-06-30," 5,529,930,300 ",150,0.15
357120,코람코라이프인프라리츠,2020-11-30," 9,172,553,132 ",131,0.26
357120,코람코라이프인프라리츠,2021-05-31," 11,606,080,680 ",166,0.33
357120,코람코라이프인프라리츠,2021-11-30," 10,076,587,358 ",319,0.64
357120,코람코라이프인프라리츠,2022-05-31," 15,684,130,435 ",177,0.35
357120,코람코라이프인프라리츠,2022-11-30," 14,210,255,502 ",319,
357120,코람코라이프인프라리츠,2023-05-31," 17,735,243,646 ",200,0.4
357120,코람코라이프인프라리츠,2023-11-30," 14,859,028,294 ",168,0.34
357120,코람코라이프인프라리츠,2024-05-31," 14,873,369,866 ",168,0.34
357120,코람코라이프인프라리츠,2024-11-30," 13,162,491,543 ",249,0.5
357120,코람코라이프인프라리츠,2025-05-31," 15,891,417,929 ",163,0.33
357250,미래에셋맵스리츠,2020-11-30," 2,653,000,000 ",132,0.13
357250,미래에셋맵스리츠,2021-05-31," 3,075,300,000 ",153,0.15
357250,미래에셋맵스리츠,2021-11-30," 2,432,100,000 ",121,0.12
