Code, Close , Marcap , Stocks ,Date
145270," 3,830 "," 20,762,430,000 "," 5,421,000 ",2013-06-04
140910," 4,200 "," 15,240,687,000 "," 3,628,735 ",2013-06-04
145270," 3,830 "," 20,762,430,000 "," 5,421,000 ",2013-06-05
140910," 4,250 "," 15,422,123,750 "," 3,628,735 ",2013-06-05
145270," 3,850 "," 20,870,850,000 "," 5,421,000 ",2013-06-07
140910," 4,185 "," 15,186,255,975 "," 3,628,735 ",2013-06-07
145270," 4,000 "," 21,684,000,000 "," 5,421,000 ",2013-06-10
140910," 4,190 "," 15,204,399,650 "," 3,628,735 ",2013-06-10
145270," 4,000 "," 21,684,000,000 "," 5,421,000 ",2013-06-11
140910," 4,095 "," 14,859,669,825 "," 3,628,735 ",2013-06-11
145270," 4,035 "," 21,873,735,000 "," 5,421,000 ",2013-06-12
140910," 3,975 "," 14,424,221,625 "," 3,628,735 ",2013-06-12
145270," 4,005 "," 21,711,105,000 "," 5,421,000 ",2013-06-13
140910," 4,060 "," 14,732,664,100 "," 3,628,735 ",2013-06-13
145270," 4,040 "," 21,900,840,000 "," 5,421,000 ",2013-06-14
140910," 3,930 "," 14,260,928,550 "," 3,628,735 ",2013-06-14
145270," 4,060 "," 22,009,260,000 "," 5,421,000 ",2013-06-17
140910," 4,050 "," 14,696,376,750 "," 3,628,735 ",2013-06-17
145270," 4,000 "," 21,684,000,000 "," 5,421,000 ",2013-06-18
140910," 4,265 "," 15,476,554,775 "," 3,628,735 ",2013-06-18
145270," 4,050 "," 21,955,050,000 "," 5,421,000 ",2013-06-19
140910," 4,140 "," 15,022,962,900 "," 3,628,735 ",2013-06-19
145270," 4,005 "," 21,711,105,000 "," 5,421,000 ",2013-06-20
140910," 4,015 "," 14,569,371,025 "," 3,628,735 ",2013-06-20
145270," 4,040 "," 21,900,840,000 "," 5,421,000 ",2013-06-21
140910," 4,180 "," 15,168,112,300 "," 3,628,735 ",2013-06-21
145270," 4,005 "," 21,711,105,000 "," 5,421,000 ",2013-06-24
140910," 4,050 "," 14,696,376,750 "," 3,628,735 ",2013-06-24
145270," 3,990 "," 21,629,790,000 "," 5,421,000 ",2013-06-25
140910," 3,710 "," 13,462,606,850 "," 3,628,735 ",2013-06-25
145270," 4,000 "," 21,684,000,000 "," 5,421,000 ",2013-06-26
140910," 3,930 "," 14,260,928,550 "," 3,628,735 ",2013-06-26
145270," 4,020 "," 21,792,420,000 "," 5,421,000 ",2013-06-27
140910," 4,060 "," 14,732,664,100 "," 3,628,735 ",2013-06-27
145270," 4,065 "," 22,036,365,000 "," 5,421,000 ",2013-06-28
140910," 4,300 "," 15,603,560,500 "," 3,628,735 ",2013-06-28
145270," 4,100 "," 22,226,100,000 "," 5,421,000 ",2013-07-01
140910," 4,200 "," 15,240,687,000 "," 3,628,735 ",2013-07-01
145270," 4,255 "," 23,066,355,000 "," 5,421,000 ",2013-07-02
140910," 4,200 "," 15,240,687,000 "," 3,628,735 ",2013-07-02
145270," 4,270 "," 23,147,670,000 "," 5,421,000 ",2013-07-03
140910," 4,200 "," 15,240,687,000 "," 3,628,735 ",2013-07-03
145270," 4,235 "," 22,957,935,000 "," 5,421,000 ",2013-07-04
145270," 4,220 "," 22,876,620,000 "," 5,421,000 ",2013-07-05
140910," 4,025 "," 14,605,658,375 "," 3,628,735 ",2013-07-05
145270," 4,190 "," 22,713,990,000 "," 5,421,000 ",2013-07-08
140910," 4,025 "," 14,605,658,375 "," 3,628,735 ",2013-07-08
145270," 4,100 "," 22,226,100,000 "," 5,421,000 ",2013-07-09
140910," 4,025 "," 14,605,658,375 "," 3,628,735 ",2013-07-09
145270," 4,120 "," 22,334,520,000 "," 5,421,000 ",2013-07-10
140910," 4,025 "," 14,605,658,375 "," 3,628,735 ",2013-07-10
145270," 4,150 "," 22,497,150,000 "," 5,421,000 ",2013-07-11
140910," 4,015 "," 14,569,371,025 "," 3,628,735 ",2013-07-11
145270," 4,125 "," 22,361,625,000 "," 5,421,000 ",2013-07-12
140910," 4,015 "," 14,569,371,025 "," 3,628,735 ",2013-07-12
145270," 4,105 "," 22,253,205,000 "," 5,421,000 ",2013-07-15
140910," 3,895 "," 14,133,922,825 "," 3,628,735 ",2013-07-15
145270," 4,100 "," 22,226,100,000 "," 5,421,000 ",2013-07-16
140910," 3,930 "," 14,260,928,550 "," 3,628,735 ",2013-07-16
145270," 4,160 "," 22,551,360,000 "," 5,421,000 ",2013-07-17
140910," 3,910 "," 14,188,353,850 "," 3,628,735 ",2013-07-17
145270," 4,220 "," 22,876,620,000 "," 5,421,000 ",2013-07-18
140910," 3,800 "," 13,789,193,000 "," 3,628,735 ",2013-07-18
145270," 4,190 "," 22,713,990,000 "," 5,421,000 ",2013-07-19
140910," 3,810 "," 13,825,480,350 "," 3,628,735 ",2013-07-19
145270," 4,190 "," 22,713,990,000 "," 5,421,000 ",2013-07-22
140910," 3,785 "," 13,734,761,975 "," 3,628,735 ",2013-07-22
145270," 4,180 "," 22,659,780,000 "," 5,421,000 ",2013-07-23
140910," 3,790 "," 13,752,905,650 "," 3,628,735 ",2013-07-23
145270," 4,170 "," 22,605,570,000 "," 5,421,000 ",2013-07-24
140910," 3,835 "," 13,916,198,725 "," 3,628,735 ",2013-07-24
145270," 4,170 "," 22,605,570,000 "," 5,421,000 ",2013-07-25
140910," 3,800 "," 13,789,193,000 "," 3,628,735 ",2013-07-25
145270," 4,170 "," 22,605,570,000 "," 5,421,000 ",2013-07-26
140910," 3,705 "," 13,444,463,175 "," 3,628,735 ",2013-07-26
145270," 4,100 "," 22,226,100,000 "," 5,421,000 ",2013-07-29
140910," 3,695 "," 13,408,175,825 "," 3,628,735 ",2013-07-29
145270," 4,120 "," 22,334,520,000 "," 5,421,000 ",2013-07-30
140910," 3,525 "," 12,791,290,875 "," 3,628,735 ",2013-07-30
145270," 4,050 "," 21,955,050,000 "," 5,421,000 ",2013-07-31
140910," 3,525 "," 12,791,290,875 "," 3,628,735 ",2013-07-31
145270," 4,045 "," 21,927,945,000 "," 5,421,000 ",2013-08-01
140910," 3,700 "," 13,426,319,500 "," 3,628,735 ",2013-08-01
145270," 4,080 "," 22,117,680,000 "," 5,421,000 ",2013-08-02
140910," 3,745 "," 13,589,612,575 "," 3,628,735 ",2013-08-02
145270," 4,095 "," 22,198,995,000 "," 5,421,000 ",2013-08-05
140910," 3,815 "," 13,843,624,025 "," 3,628,735 ",2013-08-05
145270," 4,110 "," 22,280,310,000 "," 5,421,000 ",2013-08-06
140910," 3,965 "," 14,387,934,275 "," 3,628,735 ",2013-08-06
145270," 4,100 "," 22,226,100,000 "," 5,421,000 ",2013-08-07
140910," 3,990 "," 14,478,652,650 "," 3,628,735 ",2013-08-07
145270," 4,100 "," 22,226,100,000 "," 5,421,000 ",2013-08-08
140910," 3,965 "," 14,387,934,275 "," 3,628,735 ",2013-08-08
145270," 4,100 "," 22,226,100,000 "," 5,421,000 ",2013-08-09
140910," 4,010 "," 14,551,227,350 "," 3,628,735 ",2013-08-09
145270," 4,085 "," 22,144,785,000 "," 5,421,000 ",2013-08-12
140910," 3,985 "," 14,460,508,975 "," 3,628,735 ",2013-08-12
145270," 4,080 "," 22,117,680,000 "," 5,421,000 ",2013-08-13
140910," 3,955 "," 14,351,646,925 "," 3,628,735 ",2013-08-13
145270," 4,100 "," 22,226,100,000 "," 5,421,000 ",2013-08-14
140910," 3,990 "," 14,478,652,650 "," 3,628,735 ",2013-08-14
145270," 4,095 "," 22,198,995,000 "," 5,421,000 ",2013-08-16
140910," 4,200 "," 15,240,687,000 "," 3,628,735 ",2013-08-16
145270," 4,050 "," 21,955,050,000 "," 5,421,000 ",2013-08-19
140910," 4,170 "," 15,131,824,950 "," 3,628,735 ",2013-08-19
145270," 4,050 "," 21,955,050,000 "," 5,421,000 ",2013-08-20
145270," 3,980 "," 21,575,580,000 "," 5,421,000 ",2013-08-21
140910," 4,150 "," 15,059,250,250 "," 3,628,735 ",2013-08-21
145270," 3,910 "," 21,196,110,000 "," 5,421,000 ",2013-08-22
140910," 3,995 "," 14,496,796,325 "," 3,628,735 ",2013-08-22
145270," 3,945 "," 21,385,845,000 "," 5,421,000 ",2013-08-23
140910," 3,995 "," 14,496,796,325 "," 3,628,735 ",2013-08-23
145270," 4,000 "," 21,684,000,000 "," 5,421,000 ",2013-08-26
140910," 4,050 "," 14,696,376,750 "," 3,628,735 ",2013-08-26
145270," 3,970 "," 21,521,370,000 "," 5,421,000 ",2013-08-27
140910," 4,060 "," 14,732,664,100 "," 3,628,735 ",2013-08-27
145270," 3,970 "," 21,521,370,000 "," 5,421,000 ",2013-08-28
140910," 4,060 "," 14,732,664,100 "," 3,628,735 ",2013-08-28
145270," 3,945 "," 21,385,845,000 "," 5,421,000 ",2013-08-29
140910," 3,960 "," 14,369,790,600 "," 3,628,735 ",2013-08-29
145270," 3,985 "," 21,602,685,000 "," 5,421,000 ",2013-08-30
140910," 4,145 "," 15,041,106,575 "," 3,628,735 ",2013-08-30
145270," 3,960 "," 21,467,160,000 "," 5,421,000 ",2013-09-02
140910," 4,005 "," 14,533,083,675 "," 3,628,735 ",2013-09-02
145270," 3,950 "," 21,412,950,000 "," 5,421,000 ",2013-09-03
140910," 4,150 "," 15,059,250,250 "," 3,628,735 ",2013-09-03
145270," 3,980 "," 21,575,580,000 "," 5,421,000 ",2013-09-04
140910," 4,180 "," 15,168,112,300 "," 3,628,735 ",2013-09-04
145270," 3,970 "," 21,521,370,000 "," 5,421,000 ",2013-09-05
145270," 3,950 "," 21,412,950,000 "," 5,421,000 ",2013-09-06
140910," 4,140 "," 15,022,962,900 "," 3,628,735 ",2013-09-06
145270," 3,950 "," 21,412,950,000 "," 5,421,000 ",2013-09-09
140910," 4,125 "," 14,968,531,875 "," 3,628,735 ",2013-09-09
145270," 3,955 "," 21,440,055,000 "," 5,421,000 ",2013-09-10
140910," 4,115 "," 14,932,244,525 "," 3,628,735 ",2013-09-10
145270," 3,955 "," 21,440,055,000 "," 5,421,000 ",2013-09-11
140910," 4,100 "," 14,877,813,500 "," 3,628,735 ",2013-09-11
145270," 3,995 "," 21,656,895,000 "," 5,421,000 ",2013-09-12
140910," 4,030 "," 14,623,802,050 "," 3,628,735 ",2013-09-12
145270," 3,990 "," 21,629,790,000 "," 5,421,000 ",2013-09-13
140910," 4,000 "," 14,514,940,000 "," 3,628,735 ",2013-09-13
145270," 3,985 "," 21,602,685,000 "," 5,421,000 ",2013-09-16
140910," 4,035 "," 14,641,945,725 "," 3,628,735 ",2013-09-16
145270," 3,980 "," 21,575,580,000 "," 5,421,000 ",2013-09-17
140910," 4,040 "," 14,660,089,400 "," 3,628,735 ",2013-09-17
145270," 3,990 "," 21,629,790,000 "," 5,421,000 ",2013-09-23
140910," 4,020 "," 14,587,514,700 "," 3,628,735 ",2013-09-23
145270," 4,020 "," 21,792,420,000 "," 5,421,000 ",2013-09-24
140910," 3,860 "," 14,006,917,100 "," 3,628,735 ",2013-09-24
145270," 4,015 "," 21,765,315,000 "," 5,421,000 ",2013-09-25
140910," 3,830 "," 13,898,055,050 "," 3,628,735 ",2013-09-25
145270," 4,010 "," 21,738,210,000 "," 5,421,000 ",2013-09-26
140910," 3,865 "," 14,025,060,775 "," 3,628,735 ",2013-09-26
145270," 4,015 "," 21,765,315,000 "," 5,421,000 ",2013-09-27
140910," 3,815 "," 13,843,624,025 "," 3,628,735 ",2013-09-27
145270," 4,020 "," 21,792,420,000 "," 5,421,000 ",2013-09-30
140910," 3,755 "," 13,625,899,925 "," 3,628,735 ",2013-09-30
145270," 4,045 "," 21,927,945,000 "," 5,421,000 ",2013-10-01
140910," 3,745 "," 13,589,612,575 "," 3,628,735 ",2013-10-01
145270," 4,035 "," 21,873,735,000 "," 5,421,000 ",2013-10-02
140910," 3,805 "," 13,807,336,675 "," 3,628,735 ",2013-10-02
145270," 4,040 "," 21,900,840,000 "," 5,421,000 ",2013-10-04
140910," 3,775 "," 13,698,474,625 "," 3,628,735 ",2013-10-04
145270," 4,075 "," 22,090,575,000 "," 5,421,000 ",2013-10-07
140910," 3,700 "," 13,426,319,500 "," 3,628,735 ",2013-10-07
145270," 4,075 "," 22,090,575,000 "," 5,421,000 ",2013-10-08
140910," 3,695 "," 13,408,175,825 "," 3,628,735 ",2013-10-08
145270," 4,060 "," 22,009,260,000 "," 5,421,000 ",2013-10-10
140910," 3,705 "," 13,444,463,175 "," 3,628,735 ",2013-10-10
145270," 4,060 "," 22,009,260,000 "," 5,421,000 ",2013-10-11
140910," 3,725 "," 13,517,037,875 "," 3,628,735 ",2013-10-11
145270," 4,075 "," 22,090,575,000 "," 5,421,000 ",2013-10-14
140910," 3,630 "," 13,172,308,050 "," 3,628,735 ",2013-10-14
145270," 4,100 "," 22,226,100,000 "," 5,421,000 ",2013-10-15
140910," 3,665 "," 13,299,313,775 "," 3,628,735 ",2013-10-15
145270," 4,150 "," 22,497,150,000 "," 5,421,000 ",2013-10-16
140910," 3,725 "," 13,517,037,875 "," 3,628,735 ",2013-10-16
145270," 4,530 "," 24,557,130,000 "," 5,421,000 ",2013-10-17
140910," 3,580 "," 12,990,871,300 "," 3,628,735 ",2013-10-17
145270," 4,525 "," 24,530,025,000 "," 5,421,000 ",2013-10-18
140910," 3,645 "," 13,226,739,075 "," 3,628,735 ",2013-10-18
145270," 4,505 "," 24,421,605,000 "," 5,421,000 ",2013-10-21
140910," 3,670 "," 13,317,457,450 "," 3,628,735 ",2013-10-21
145270," 4,550 "," 24,665,550,000 "," 5,421,000 ",2013-10-22
140910," 3,705 "," 13,444,463,175 "," 3,628,735 ",2013-10-22
145270," 4,650 "," 25,207,650,000 "," 5,421,000 ",2013-10-23
140910," 3,725 "," 13,517,037,875 "," 3,628,735 ",2013-10-23
145270," 4,830 "," 26,183,430,000 "," 5,421,000 ",2013-10-24
140910," 3,725 "," 13,517,037,875 "," 3,628,735 ",2013-10-24
145270," 4,805 "," 26,047,905,000 "," 5,421,000 ",2013-10-25
140910," 3,900 "," 14,152,066,500 "," 3,628,735 ",2013-10-25
145270," 4,830 "," 26,183,430,000 "," 5,421,000 ",2013-10-28
140910," 3,955 "," 14,351,646,925 "," 3,628,735 ",2013-10-28
145270," 4,910 "," 26,617,110,000 "," 5,421,000 ",2013-10-29
140910," 4,080 "," 14,805,238,800 "," 3,628,735 ",2013-10-29
145270," 4,920 "," 26,671,320,000 "," 5,421,000 ",2013-10-30
140910," 3,930 "," 14,260,928,550 "," 3,628,735 ",2013-10-30
145270," 4,945 "," 26,806,845,000 "," 5,421,000 ",2013-10-31
