시기,한국은행 기준금리,국고채(3년),국고채(10년),"회사채(3년, AA-)"
Jan-18,1.5,2.19,2.626,2.722
Feb-18,1.5,2.277,2.77,2.815
Mar-18,1.5,2.271,2.708,2.831
Apr-18,1.5,2.192,2.655,2.794
May-18,1.5,2.25,2.757,2.86
Jun-18,1.5,2.175,2.656,2.805
Jul-18,1.5,2.097,2.549,2.75
Aug-18,1.5,2.019,2.458,2.656
Sep-18,1.5,1.953,2.315,2.403
Oct-18,1.5,2.01,2.338,2.452
Nov-18,1.75,1.94,2.209,2.403
Dec-18,1.75,1.825,1.992,2.304
Jan-19,1.75,1.807,1.991,2.263
Feb-19,1.75,1.802,1.988,2.249
Mar-19,1.75,1.789,1.953,2.244
Apr-19,1.75,1.736,1.889,2.207
May-19,1.75,1.679,1.828,2.153
Jun-19,1.75,1.496,1.618,2.004
Jul-19,1.5,1.382,1.506,1.885
Aug-19,1.5,1.164,1.254,1.689
Sep-19,1.5,1.287,1.42,1.792
Oct-19,1.25,1.357,1.577,1.861
Nov-19,1.25,1.492,1.75,2.002
Dec-19,1.25,1.39,1.653,1.948
Jan-20,1.25,1.373,1.656,1.955
Feb-20,1.25,1.253,1.54,1.847
Mar-20,0.75,1.091,1.485,1.84
Apr-20,0.75,1.024,1.504,2.145
May-20,0.5,0.878,1.394,2.179
Jun-20,0.5,0.85,1.392,2.218
Jul-20,0.5,0.826,1.36,2.219
Aug-20,0.5,0.829,1.373,2.192
Sep-20,0.5,0.908,1.5,2.239
Oct-20,0.5,0.91,1.507,2.239
Nov-20,0.5,0.965,1.61,2.247
Dec-20,0.5,0.97,1.675,2.211
Jan-21,0.5,0.975,1.731,2.143
Feb-21,0.5,0.995,1.845,2.055
Mar-21,0.5,1.133,2.04,2.091
Apr-21,0.5,1.138,2.041,1.983
May-21,0.5,1.134,2.131,1.891
Jun-21,0.5,1.302,2.103,1.913
Jul-21,0.5,1.419,1.976,1.888
Aug-21,0.75,1.411,1.905,1.838
Sep-21,0.75,1.515,2.061,1.953
Oct-21,0.75,1.842,2.399,2.302
Nov-21,1,1.953,2.355,2.492
Dec-21,1,1.8,2.187,2.41
Jan-22,1.25,2.06,2.492,2.632
Feb-22,1.25,2.285,2.69,2.873
Mar-22,1.25,2.369,2.784,3.028
Apr-22,1.5,2.941,3.219,3.631
May-22,1.75,3.019,3.295,3.775
Jun-22,1.75,3.477,3.64,4.233
Jul-22,2.25,3.238,3.3,4.126
Aug-22,2.5,3.247,3.322,4.227
Sep-22,2.5,3.903,3.897,4.9
Oct-22,3,4.235,4.267,5.436
Nov-22,3.25,3.895,3.915,5.487
Dec-22,3.25,3.63,3.541,5.302
Jan-23,3.5,3.46,3.411,4.704
Feb-23,3.5,3.47,3.45,4.274
Mar-23,3.5,3.461,3.448,4.184
Apr-23,3.5,3.263,3.319,4.072
May-23,3.5,3.33,3.402,4.139
Jun-23,3.5,3.548,3.611,4.356
Jul-23,3.5,3.638,3.681,4.437
Aug-23,3.5,3.727,3.86,4.5
Sep-23,3.5,3.842,3.949,4.602
Oct-23,3.5,4.031,4.272,4.827
Nov-23,3.5,3.771,3.89,4.583
Dec-23,3.5,3.35,3.415,4.076
Jan-24,3.5,3.266,3.353,4.013
Feb-24,3.5,3.351,3.429,4.053
Mar-24,3.5,3.31,3.39,3.944
Apr-24,3.5,3.439,3.567,3.974
May-24,3.5,3.432,3.527,3.876
Jun-24,3.5,3.262,3.337,3.708
Jul-24,3.5,3.083,3.171,3.542
Aug-24,3.5,2.924,2.999,3.418
Sep-24,3.5,2.868,3.011,3.448
Oct-24,3.25,2.911,3.07,3.486
Nov-24,3,2.858,3.006,3.428
Dec-24,3,2.59,2.771,3.236
Jan-25,3,2.571,2.821,3.229
Feb-25,2.75,2.611,2.83,3.206
Mar-25,2.75,2.59,2.795,3.161
Apr-25,2.75,2.395,2.658,2.98
May-25,2.5,2.331,2.71,2.908
Jun-25,2.5,2.441,2.842,2.98
Jul-25,2.5,2.465,2.84,2.957
Aug-25,2.5,2.427,2.815,2.914
Sep-25,2.5,2.464,2.849,2.926
Oct-25,2.5,2.601,2.933,3.028
