year,semi-year,code, NI , Dep , gain_on_disposition , loss_of_disposition , gain_on_appreciation , loss_of_appreciation , FFO , dividend ,dps
2011,2,140890,630798649,688755522,,,,,1319554171,1279000000,132
2012,1,140890,881246303,688755522,,,,,1570001825,1529000000,157
2012,2,140890,620039259,688755522,,,,,1308794781,1268000000,131
2013,1,140890,879757773,688755522,,,,,1568513295,1528000000,158
2013,2,140890,955560173,688755522,,,,,1644315695,1599000000,165
2014,1,140890,910448488,688755522,,,,,1599204010,1558000000,161
2014,2,140890,967847758,688755522,,,,,1656603280,1656000000,171
2015,1,140890,918669441,688755522,,,,,1607424963,1027000000,106
2015,2,140890,329455400,688755522,,,,,1018210922,329000000,34
2016,1,140890,-533851594,688755522,,,,,154903928,0,0
2016,2,140890,-126609801,688755522,,,,,562145721,0,0
2017,1,140890,104084697,688755522,,,,,792840219,0,0
2017,2,140890,253523619,688755522,,,,,942279141,0,0
2018,1,140890,-177185894,688755522,,,,,511569628,0,0
2018,2,140890,226352080,688755522,,,,,915107602,0,0
2019,2,338100,-1671751947,,,,,,-1671751947,0,0
2020,1,338100,2499803195,,,,125645539,,2374157656,2370000000,127
2020,2,338100,2731823824,,,,513520564,,2218303260,2221000000,119
2021,1,338100,2006501716,,,,88154684,416078616,2334425648,2333000000,125
2021,2,338100,3874286268,,,,1569675494,,2304610774,2295000000,123
2022,1,338100,2318916515,,,,269954430,10926930,2059889015,2052000000,110
2022,2,338100,7352917541,,,,5201135587,,2151781954,2146000000,115
2023,1,338100,2527719241,,,,190147145,81529828,2419101924,2444000000,131
2023,2,338100,12780163155,,2710791204,,9462059116,,607312835,7464000000,400
2024,1,338100,3387602245,,,,1458378337,,1929223908,2612000000,140
2024,2,338100,7050298232,,,,2273988283,5570430049,10346739998,9666000000,518
2025,1,338100,10765984216,,26260751,,8914852764,,1824870701,2351000000,126
2022,1,357430,812788175,544916873,,,,,1357705048,1814000000,61
2022,2,357430,683704995,630346865,,,,,1314051860,2963000000,111
2023,1,357430,-5544449504,657720738,,,,,-4886728766,4053000000,152
2023,2,357430,-11001031390,632482495,,,,,-10368548895,4067000000,153
2024,1,357430,1474073916,658880833,,,,,2132954749,2305000000,86
2024,2,357430,12218111178,690072572,,,,,12908183750,1173000000,44
2025,1,357430,654243679,237484969,,,,,891728648,1861000000,61
2021,1,377190,-2285455117,3072925000,,,,,787469883,903000000,107
2021,2,377190,2498514116,3535905000,,,,,6034419116,5261000000,81
2022,1,377190,3348268691,3835664000,,,,,7183932691,9783000000,151
2022,2,377190,1508936676,4344742000,,,,,5853678676,9660000000,150
2023,1,377190,7538286589,4617592000,,,,,12155878589,9660000000,150
2023,2,377190,3138984861,4624560000,,,,,7763544861,9080000000,141
2024,1,377190,3456470990,4625784000,,,,,8082254990,8887000000,138
2024,2,377190,2814924624,4627886000,,,,,7442810624,8952000000,139
2025,1,377190,4067206754,4756698000,,,,,8823904754,11138000000,126
2023,1,432320,-8692097864,8625600000,,,,,-66497864,16733000000,165
2023,2,432320,-55387974229,7645308000,,,,39629351000,-8113315229,19066000000,188
2024,1,432320,51055242103,7374468000,,,39718013000,,18711697103,19066000000,188
2024,2,432320,-31791469834,7955351000,,,,44142628000,20306509166,19066000000,188
2025,1,432320,18964573555,7646938717,,,,,26611512272,18254000000,180
2025,1,395400,62715014464,12157334000,0,1342113000,34050187000,17606000,42181880464,38530000000,136
2024,2,395400,-227105056,23981134000,0,11640673000,,,35394701944,36008000000,132
2024,1,395400,8902883348,23659016000,0,0,,,32561899348,35658000000,132
2023,2,395400,17542958867,17154962000,0,23115811000,,,57813731867,42468000000,182
2023,1,395400,7151316908,9366808000,0,0,,,16518124908,25946000000,132
2022,2,395400,10996471286,8722417000,0,0,,,19718888286,25946000000,132
2022,1,395400,17935714081,4153340000,0,0,,,22089054081,22032000000,141
2021,2,395400,15052398236,4068818000,0,0,,,19121216236,19121000000,123
2025,1,330590,16546765792,19645368000,0,0,,,36192133792,33809000000,117
2024,2,330590,10613567528,19597700000,0,0,,,30211267528,32365000000,112
2024,1,330590,5841464604,19226790000,0,0,,,25068254604,25026000000,103
2023,2,330590,3177878339,20056320000,0,0,,,23234198339,23234000000,95
2023,1,330590,5865520288,20662515000,0,0,,,26528035288,26528000000,109
2022,2,330590,14114824803,20662515000,0,0,,,34777339803,34777000000,143
2022,1,330590,19028588290,20662515000,0,0,,,39691103290,39691000000,163
2021,2,330590,18405981757,20402327000,0,0,,,38808308757,38808000000,159
2021,1,330590,16978460612,16978754000,0,0,,,33957214612,33957000000,139
2020,2,330590,15613436889,12224577000,0,0,,,27838013889,27838000000,161
2020,1,330590,15547730007,12229863000,0,0,,,27777593007,27778000000,161
2019,2,330590,10581368427,6006502000,0,0,,,16587870427,16588000000,96
2019,1,330590,2924697614,589191585.1,0,0,,,3513889199,3514095745,21
2025,1,404990,-3670178085,5343821162,0,0,,,1673643077,7313000000,130
2024,2,404990,10271178851,4319999790,0,0,,,14591178641,7274000000,130
2024,1,404990,-1117791230,4320000000,0,0,,,3202208770,6603000000,118
2023,2,404990,5313300888,4248532000,0,0,,,9561832888,7833000000,140
2023,1,404990,4503444459,4109904000,0,0,,,8613348459,8393000000,150
2022,2,404990,5439414713,4323033000,0,0,,,9762447713,8953000000,160
2022,1,404990,3321786667,4405441000,0,0,,,7727227667,8729000000,156
2021,2,404990,1653483263,3625769000,0,0,,,5279252263,4980000000,89
