year,month,code, NI , Dep , gain_on_disposition , loss_of_disposition , gain_on_appreciation , loss_of_appreciation , gain_on_others , looss_of_others , FFO ,,,code,, dividend , dps ,
2011,10,140890," 630,798,649 "," 688,755,522 ",,,,,,," 1,319,554,171 ",,,140890,," 1,279,000,000 ", 132 ,
2012,4,140890," 881,246,303 "," 688,755,522 ",,,,,,," 1,570,001,825 ", 0.1897971751 ,,140890,," 1,529,000,000 ", 157 ,
2012,10,140890," 620,039,259 "," 688,755,522 ",,,,,,," 1,308,794,781 ",-0.1663737200 ,-0.0081538070 ,140890,," 1,268,000,000 ", 131 ,
2013,4,140890," 879,757,773 "," 688,755,522 ",,,,,,," 1,568,513,295 ", 0.1984409762 ,-0.0009481072 ,140890,," 1,528,000,000 ", 158 ,
2013,10,140890," 955,560,173 "," 688,755,522 ",,,,,,," 1,644,315,695 ", 0.0483275470 , 0.2563586888 ,140890,," 1,599,000,000 ", 165 ,
2014,4,140890," 910,448,488 "," 688,755,522 ",,,,,,," 1,599,204,010 ",-0.0274349294 , 0.0195667548 ,140890,," 1,558,000,000 ", 161 ,
2014,10,140890," 967,847,758 "," 688,755,522 ",,,,,,," 1,656,603,280 ", 0.0358924000 , 0.0074727651 ,140890,," 1,656,000,000 ", 171 ,
2015,4,140890," 918,669,441 "," 688,755,522 ",,,,,,," 1,607,424,963 ",-0.0296862366 , 0.0051406531 ,140890,," 1,027,000,000 ", 106 ,
2015,10,140890," 329,455,400 "," 688,755,522 ",,,,,,," 1,018,210,922 ",-0.3665577271 ,-0.3853622444 ,140890,," 329,000,000 ", 34 ,
2016,4,140890,"-533,851,594 "," 688,755,522 ",,,,,,," 154,903,928 ",-0.8478665622 ,-0.9036322494 ,140890,, - , - ,
2016,10,140890,"-126,609,801 "," 688,755,522 ",,,,,,," 562,145,721 ", 2.6289959090 ,-0.4479083765 ,140890,, - , - ,
2017,4,140890," 104,084,697 "," 688,755,522 ",,,,,,," 792,840,219 ", 0.4103820226 , 4.1182705903 ,140890,, - , - ,
2017,10,140890," 253,523,619 "," 688,755,522 ",,,,,,," 942,279,141 ", 0.1884855465 , 0.6762186490 ,140890,, - , - ,
2018,4,140890,"-177,185,894 "," 688,755,522 ",,,,,,," 511,569,628 ",-0.4570933328 ,-0.3547632729 ,140890,, - , - ,
2018,10,140890," 226,352,080 "," 688,755,522 ",,,,,,," 915,107,602 ", 0.7888231668 ,-0.0288359763 ,140890,7년 존속 기업, - , - ,
2019,3,293940," 5,074,884,870 "," 3,101,844,000 ",,,,,,," 8,176,728,870 ", 7.9352649373 , 14.9836089214 ,293940,," 8,169,000,000 ", 137 ,
2019,9,293940," 3,017,252,127 "," 3,115,400,000 ",,,,,,," 6,132,652,127 ",-0.2499871006 , 5.7015639621 ,293940,," 8,324,000,000 ", 140 ,
2020,3,293940," 5,722,267,683 "," 3,170,973,000 ",,,,,,," 8,893,240,683 ", 0.4501459562 , 0.0876281731 ,293940,," 8,797,000,000 ", 150 ,
2020,9,293940," 2,691,556,650 "," 3,902,637,000 ",,,,,,," 6,594,193,650 ",-0.2585162277 , 0.0752596941 ,293940,," 9,654,000,000 ", 153 ,
2021,3,293940," 5,808,946,292 "," 5,314,358,000 ",,,,,,," 11,123,304,292 ", 0.6868331266 , 0.2507593900 ,293940,," 10,226,000,000 ", 164 ,
2021,9,293940," 1,712,400,473 "," 5,608,031,000 ",,,,,,," 7,320,431,473 ",-0.3418833756 , 0.1101329232 ,293940,"세금과공과++, 기타수익++, 이자비용++  --> 실제 부담하는 NI 성격으로 제거가 적절치 않다고 판단"," 10,918,000,000 ", 177 ,
2022,3,293940," 4,810,675,706 "," 6,370,565,000 ",,,,,,," 11,181,240,706 ", 0.5274018679 , 0.0052085615 ,293940,," 11,712,000,000 ", 192 ,
2022,9,293940," 4,291,483,730 "," 6,547,768,000 ",,,,,,," 10,839,251,730 ",-0.0305859596 , 0.4806848162 ,293940,," 16,049,000,000 ", 195 ,
2023,3,293940," 8,571,385,794 "," 6,567,607,000 ",,,,,,," 15,138,992,794 ", 0.3966824621 , 0.3539635888 ,293940,," 15,672,000,000 ", 190 ,
2023,9,293940," 6,900,041,199 "," 6,360,644,000 ",,,,,,," 13,260,685,199 ",-0.1240708428 , 0.2233948919 ,293940,," 18,039,000,000 ", 186 ,
2024,3,293940," 7,767,742,820 "," 6,169,328,000 ",,,,,,," 13,937,070,820 ", 0.0510068379 ,-0.0793924662 ,293940,," 58,212,000,000 ", 642 ,
