종목번호,리츠 명,오피스,물류,리테일,호텔,주유소,주택,복합
0030R0,대신밸류리츠,1,0,0,0,0,0,0
481850,신한글로벌액티브리츠,0,0,0,0,0,0,1
448730,삼성FN리츠,1,0,0,0,0,0,0
451800,한화리츠,1,0,0,0,0,0,0
432320,KB스타리츠,1,0,0,0,0,0,0
417310,코람코더원리츠,1,0,0,0,0,0,0
204210,스타에스엠리츠,0,0,1,1,0,0,0
145270,케이탑리츠,1,0,1,0,0,0,0
140910,에이리츠,0,0,0,0,0,1,0
357430,마스턴프리미어리츠,1,1,0,0,0,0,0
404990,신한서부티엔디리츠,0,0,1,1,0,0,0
396690,미래에셋글로벌리츠,0,1,0,0,0,0,0
400760,NH올원리츠,1,1,0,0,0,0,0
395400,SK리츠,1,0,0,0,1,0,0
377190,디앤디플랫폼리츠,1,1,0,0,0,0,0
365550,ESR켄달스퀘어리츠,0,1,0,0,0,0,0
357120,코람코라이프인프라리츠,0,1,0,0,1,0,0
348950,제이알글로벌리츠,1,0,0,0,0,0,0
357250,미래에셋맵스리츠,1,0,1,0,0,0,0
350520,이지스레지던스리츠,0,0,0,1,0,1,0
334890,이지스밸류플러스리츠,1,0,1,0,0,0,0
338100,NH프라임리츠,1,0,0,0,0,0,0
330590,롯데리츠,0,1,1,0,0,0,0
293940,신한알파리츠,1,0,0,0,0,0,0
88260,이리츠코크렙,0,0,1,0,0,0,0
24,,15,7,7,3,2,2,1
