조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20250630,20250630,코스피,088260,이리츠코크렙,Monthly,4435,0.139143,0.426096,60
20250630,20250630,코스피,140910,에이리츠,Monthly,3130,0.394862,0.596575,60
20250630,20250630,코스피,145270,케이탑리츠,Monthly,954,0.935886,0.957258,60
20250630,20250630,코스피,204210,스타에스엠리츠,Monthly,2035,1.262388,1.174926,60
20250630,20250630,코스피,293940,신한알파리츠,Monthly,5640,0.163923,0.442616,60
20250630,20250630,코스피,330590,롯데리츠,Monthly,3750,0.247658,0.498439,60
20250630,20250630,코스피,334890,이지스밸류플러스리츠,Monthly,4706,0.219385,0.47959,59
20250630,20250630,코스피,338100,NH프라임리츠,Monthly,4555,0.085324,0.390216,60
20250630,20250630,코스피,348950,제이알글로벌리츠,Monthly,2590,0.162692,0.441795,58
20250630,20250630,코스피,350520,이지스레지던스리츠,Monthly,4115,0.168298,0.445532,58
20250630,20250630,코스피,357120,코람코라이프인프라리츠,Monthly,4440,0.203141,0.468761,58
20250630,20250630,코스피,357250,미래에셋맵스리츠,Monthly,2730,0.269543,0.513029,58
20250630,20250630,코스피,357430,마스턴프리미어리츠,Monthly,1402,0.33726,0.558174,37
20250630,20250630,코스피,365550,ESR켄달스퀘어리츠,Monthly,4200,0.474484,0.649656,54
20250630,20250630,코스피,377190,디앤디플랫폼리츠,Monthly,3145,0.305632,0.537089,46
20250630,20250630,코스피,395400,SK리츠,Monthly,4620,0.247573,0.498382,45
20250630,20250630,코스피,396690,미래에셋글로벌리츠,Monthly,2695,0.437767,0.625179,42
20250630,20250630,코스피,400760,NH올원리츠,Monthly,3517,0.146578,0.431053,43
20250630,20250630,코스피,404990,신한서부티엔디리츠,Monthly,3520,0.407484,0.60499,42
20250630,20250630,코스피,417310,코람코더원리츠,Monthly,5410,0.508843,0.672562,39
20250630,20250630,코스피,432320,KB스타리츠,Monthly,3880,0.265117,0.510078,32
20250630,20250630,코스피,448730,삼성FN리츠,Monthly,4450,0.012102,0.341402,26
20250630,20250630,코스피,451800,한화리츠,Monthly,3990,0.261961,0.507975,27
20250630,20250630,코스피,481850,신한글로벌액티브리츠,Monthly,1460,0.129027,0.419351,11
