종목번호,리츠 명,상장여부,상폐이유,상장시기,상장폐지 시기,1월결산,2월결산,3월결산,4월결산,5월결산,6월결산,7월결산,8월결산,9월결산,10월결산,11월결산,12월결산,결산횟수
0030R0,대신밸류리츠,1,,2025-07-10,,0,1,0,0,1,0,0,1,0,0,1,0,4
481850,신한글로벌액티브리츠,1,,2024-07-01,,0,1,0,0,0,0,0,1,0,0,0,0,2
448730,삼성FN리츠,1,,2023-04-10,,1,0,0,1,0,0,1,0,0,1,0,0,4
451800,한화리츠,1,,2023-03-27,,0,0,0,1,0,0,0,0,0,1,0,0,2
432320,KB스타리츠,1,,2022-10-06,,1,0,0,0,0,0,1,0,0,0,0,0,2
417310,코람코원리츠,1,,2022-03-28,,0,0,0,0,1,0,0,0,0,0,1,0,2
204210,스타에스엠리츠,0,embezzlement,2016-09-22,2025-05-26,0,0,0,0,0,0,0,0,0,0,0,1,1
145270,케이탑리츠,1,,2012-01-31,,0,0,0,0,0,0,0,0,0,0,0,1,1
140910,에이리츠,0,underscale,2011-07-14,2025-08-20,0,0,0,0,0,0,0,0,0,0,0,1,1
357430,마스턴프리미어리츠,1,,2022-05-31,,0,0,1,0,0,0,0,0,1,0,0,0,2
404990,신한서부티엔디리츠,1,,2021-12-10,,0,0,0,0,0,1,0,0,0,0,0,1,2
396690,미래에셋글로벌리츠,1,,2021-12-03,,0,0,1,0,0,0,0,0,1,0,0,0,2
400760,NH올원리츠,1,,2021-11-18,,0,0,0,0,0,1,0,0,0,0,0,1,2
395400,SK리츠,1,,2021-09-14,,0,0,1,0,0,1,0,0,1,0,0,1,4
377190,디앤디플랫폼리츠,1,,2021-08-27,,0,0,1,0,0,0,0,0,1,0,0,0,2
365550,ESR켄달스퀘어리츠,1,,2020-12-23,,0,0,0,0,1,0,0,0,0,0,1,0,2
357120,코람코라이프인프라리츠,1,,2020-08-31,,0,0,0,0,1,0,0,0,0,0,1,0,2
348950,제이알글로벌리츠,1,,2020-08-07,,0,0,0,0,0,1,0,0,0,0,0,1,2
357250,미래에셋맵스리츠,1,,2020-08-05,,0,0,0,0,1,0,0,0,0,0,1,0,2
350520,이지스레지던스리츠,1,,2020-08-05,,0,0,0,0,0,1,0,0,0,0,0,1,2
334890,이지스밸류플러스리츠,1,,2020-07-16,,0,1,0,0,0,0,0,1,0,0,0,0,2
338100,NH프라임리츠,1,,2019-12-05,,0,0,0,0,1,0,0,0,0,0,1,0,2
330590,롯데리츠,1,,2019-10-30,,0,0,0,0,0,1,0,0,0,0,0,1,2
293940,신한알파리츠,1,,2018-08-08,,0,0,1,0,0,0,0,0,1,0,0,0,2
088260,이리츠코크렙,1,,2018-06-27,,0,0,0,0,0,1,0,0,0,0,0,1,2
040950,다산리츠,0,embezzlement,2010-09-09,2011-06-24,,,,,,,,,,,,,
119250,골든나래리츠,0,embezzlement,2010-05-03,2014-09-10,,,,,,,,,,,,,
119250,에프지엔개발리츠,0,embezzlement,2014-06-25,2014-10-28,,,,,,,,,,,,,
138440,이코리아리츠,0,underscale,2011-03-10,2015-03-02,,,,,,,,,,,,,
140890,트러스제7호,0,expired,2011-09-30,2018-03-02,,,,,,,,,,,,,
149130,KB부국위탁리츠,0,underscale,2012-06-12,2015-01-20,,,,,,,,,,,,,

